prefecture,city,population
Tokyo,Special district,"9,272,740"
Kanagawa Prefecture,Yokohama,"3,724,844"
Osaka prefecture,Osaka,"2,691,185"
Aichi-ken,Nagoya city,"2,295,638"
Hokkaido,Sapporo,"1,952,356"
Fukuoka Prefecture,Fukuoka City,"1,538,681"
Hyōgo Prefecture,Kobe City,"1,537,272"
Kanagawa Prefecture,Kawasaki city,"1,475,213"
Kyoto,Kyoto City,"1,475,183"
Saitama,Saitama,"1,263,979"
Hiroshima,Hiroshima city,"1,194,034"
Miyagi Prefecture,Sendai city,"1,082,159"
Chiba ken,Chiba,"971,882"
Fukuoka Prefecture,Kitakyushu,"961,286"
Tokyo,Setagaya,"903,346"
Osaka prefecture,Sakai,"839,310"
Niigata Prefecture,Niigata City,"810,157"
Shizuoka Prefecture,Hamamatsu city,"797,980"
Kumamoto Prefecture,Kumamoto-shi,"740,822"
Tokyo,Nerima-ku,"721,722"
Kanagawa Prefecture,Sagamihara City,"720,780"
Okayama Prefecture,Okayama City,"719,474"
Tokyo,Ota-ku,"717,082"
Shizuoka Prefecture,Shizuoka City,"704,989"
Tokyo,Edogawa-ku,"681,298"
Tokyo,Adachi-ku,"670,122"
Chiba ken,Funabashi,"622,890"
Kagoshima prefecture,Kagoshima-shi,"599,814"
Saitama,Kawaguchi city,"578,112"
Tokyo,Hachioji City,"577,513"
Tokyo,Suginami,"563,997"
Tokyo,Itabashi ku,"561,916"
Hyōgo Prefecture,Himeji city,"535,664"
Tochigi Prefecture,Utsunomiya,"518,594"
Ehime Prefecture,Matsuyama City,"514,865"
Osaka prefecture,Higashiosaka city,"502,784"
Tokyo,Koto Ward,"498,109"
Hyōgo Prefecture,Nishinomiya,"487,850"
Chiba ken,Matsudo-shi,"483,480"
Chiba ken,Ichigawa City,"481,732"
Oita Prefecture,Oita,"478,146"
Okayama Prefecture,Kurashiki,"477,118"
Ishikawa Prefecture,Kanazawa,"465,699"
Hiroshima,Fukuyama,"464,811"
Hyōgo Prefecture,Amagasaki,"452,563"
Tokyo,Katsushika,"442,913"
Tokyo,Machida-shi,"432,348"
Nagasaki Prefecture,Nagasaki,"429,508"
Kanagawa Prefecture,Fujisawa,"423,894"
Aichi-ken,City of Toyota,"422,542"
Kagawa Prefecture,Takamatsu,"420,748"
Toyama Prefecture,City of toyama,"418,666"
Chiba ken,Kashiwa,"413,954"
Gifu Prefecture,Gifu-shi,"406,735"
Kanagawa Prefecture,Yokosuka,"406,586"
Osaka prefecture,Hirakata,"404,152"
Miyazaki,Miyazaki,"401,138"
Osaka prefecture,Toyonaka,"395,479"
Tokyo,Shinagawa,"386,855"
Aichi-ken,Okazaki,"381,051"
Aichi-ken,Ichimiya,"380,868"
Nagano Prefecture,Nagano city,"377,598"
Aichi-ken,Toyohashi,"374,765"
Osaka prefecture,Suita-shi,"374,468"
Gunma Prefecture,Takasaki,"370,884"
Wakayama Prefecture,Wakayama-shi,"364,154"
Nara Prefecture,Nara City,"360,310"
Osaka prefecture,Takatsuki,"351,829"
Saitama,Kawagoe-shi,"350,745"
Fukushima Prefecture,Iwaki City,"350,237"
Tokyo,Kita,"341,076"
Shiga Prefecture,Otsu,"340,973"
Saitama,Tokorozawa,"340,386"
Hokkaido,Asahikawa,"339,605"
Saitama,Koshigaya,"337,498"
Kochi Prefecture,Kochi City,"337,190"
Gunma Prefecture,Maebashi,"336,154"
Fukushima Prefecture,Koriyama,"335,444"
Tokyo,Shinjuku ward,"333,560"
Tokyo,Nakano,"328,215"
Okinawa Prefecture,Naha-shi,"319,435"
Akita,Akita-shi,"315,814"
Mie Prefecture,Yokkaichi City,"311,031"
Aichi-ken,Kasugai,"306,508"
Fukuoka Prefecture,Kurume-shi,"304,552"
Iwate Prefecture,Morioka,"297,631"
Fukushima Prefecture,Fukushima-shi,"294,247"
Hyōgo Prefecture,Akashi shi,"293,409"
Tokyo,Toshima ward,"291,167"
Aomori Prefecture,Aomori,"287,648"
Osaka prefecture,Ibaraki,"280,033"
Mie Prefecture,Tsu,"279,886"
Tokyo,Meguro,"277,622"
Niigata Prefecture,Nagaoka,"275,133"
Chiba ken,Ichihara,"274,656"
Ibaraki Prefecture,Mito city,"270,783"
Osaka prefecture,Yao shi,"268,800"
Yamaguchi Prefecture,Shimonoseki,"268,517"
Hyōgo Prefecture,Kakogawa,"267,435"
Hokkaido,Hakodate-shi,"265,979"
Fukui Prefecture,Fukui-shi,"265,904"
Tokyo,Fuchu-shi,"260,274"
Tokushima,Tokushima,"258,554"
Kanagawa Prefecture,Hiratsuka,"258,227"
Tokyo,Sumida-ku,"256,274"
Nagasaki Prefecture,Sasebo,"255,439"
Yamagata Prefecture,Yamagata,"253,832"
Shizuoka Prefecture,Fuji,"248,399"
Saitama,Soka,"247,034"
Nagano Prefecture,Matsumoto,"243,293"
Tokyo,Minato-ku,"243,283"
Kanagawa Prefecture,Chigasaki,"239,348"
Osaka prefecture,Neyagawa-shi,"237,518"
Saga Prefecture,Saga City,"236,372"
Kanagawa Prefecture,Yamatoichi,"232,922"
Saitama,Kasukabe,"232,709"
Aomori Prefecture,Hachinohe,"231,257"
Tokyo,Chofu,"229,061"
Hiroshima,Kure,"228,522"
Ibaraki Prefecture,Tsukuba City,"226,963"
Kanagawa Prefecture,Atsugi,"225,714"
Saitama,Ageo,"225,196"
Hyōgo Prefecture,Takarazuka,"224,903"
Tokyo,Shibuya Ward,"224,533"
Gunma Prefecture,Ota-shi,"219,807"
Tokyo,Bunkyo ku,"219,724"
Tokyo,Arakawa,"212,264"
Gunma Prefecture,Isezaki,"208,814"
Shimane Prefecture,Matsue,"206,230"
Tokyo,Nishitokyo,"200,012"
Saitama,Kumagaya-shi,"198,742"
Tokyo,Taito,"198,073"
Yamaguchi Prefecture,Yamaguchi,"197,422"
Niigata Prefecture,Joetsu,"196,987"
Hyōgo Prefecture,Itami-shi,"196,883"
Mie Prefecture,Suzuka,"196,403"
Shizuoka Prefecture,Numazu,"195,633"
Osaka prefecture,Kishiwada City,"194,086"
Kanagawa Prefecture,Odawara city,"194,086"
Tottori prefecture,Tottori,"193,717"
Chiba ken,Yachiyo,"193,152"
Yamanashi Prefecture,Kofu City,"193,125"
Hiroshima,Higashi Hiroshima,"192,907"
Tokyo,Kodaira,"190,005"
Tokyo,Mitaka City,"186,936"
Tokyo,Hino city,"186,283"
Osaka prefecture,Izumi,"186,109"
Ibaraki Prefecture,Hitachi City,"185,054"
Kyoto,Uji,"184,678"
