prefecture_jp,city_jp,prefecture,city,population,prefecture_hira,city_hira,html,tag
東京都,東京都,Tokyo,Tokyo,9272740,とうきょうと,とうきょうと,"<img src=""Tokyo+Tokyo+japan.jpg"">",Tokyo
神奈川県,横浜市,Kanagawa,Yokohama,3724844,かながわけん,よこはまし,"<img src=""Yokohama+Kanagawa+japan.jpg"">",Kanagawa
大阪府,大阪市,Osaka,Osaka,2691185,おおさかふ,おおさかし,"<img src=""Osaka+Osaka+japan.jpg"">",Osaka
愛知県,名古屋市,Aichi,Nagoya,2295638,あいちけん,なごやし,"<img src=""Nagoya+Aichi+japan.jpg"">",Aichi
北海道,札幌市,Hokkaido,Sapporo,1952356,ほっかいどう,さっぽろし,"<img src=""Sapporo+Hokkaido+japan.jpg"">",Hokkaido
福岡県,福岡市,Fukuoka,Fukuoka,1538681,ふくおかけん,ふくおかし,"<img src=""Fukuoka+Fukuoka+japan.jpg"">",Fukuoka
兵庫県,神戸市,Hyogo,Kobe,1537272,ひょうごけん,こうべし,"<img src=""Kobe+Hyogo+japan.jpg"">",Hyogo
神奈川県,川崎市,Kanagawa,Kawasaki,1475213,かながわけん,かわさきし,"<img src=""Kawasaki+Kanagawa+japan.jpg"">",Kanagawa
京都府,京都市,Kyoto,Kyoto,1475183,きょうとふ,きょうとし,"<img src=""Kyoto+Kyoto+japan.jpg"">",Kyoto
埼玉県,さいたま市,Saitama,Saitama,1263979,さいたまけん,さいたまし,"<img src=""Saitama+Saitama+japan.jpg"">",Saitama
広島県,広島市,Hiroshima,Hiroshima,1194034,ひろしまけん,ひろしまし,"<img src=""Hiroshima+Hiroshima+japan.jpg"">",Hiroshima
宮城県,仙台市,Miyagi,Sendai,1082159,みやぎけん,せんだいし,"<img src=""Sendai+Miyagi+japan.jpg"">",Miyagi
千葉県,千葉市,Chiba,Chiba,971882,ちばけん,ちばし,"<img src=""Chiba+Chiba+japan.jpg"">",Chiba
福岡県,北九州市,Fukuoka,Kitakyushu,961286,ふくおかけん,きたきゅうしゅうし,"<img src=""Kitakyushu+Fukuoka+japan.jpg"">",Fukuoka
東京都,世田谷区,Tokyo,Setagaya,903346,とうきょうと,せたがやく,"<img src=""Setagaya+Tokyo+japan.jpg"">",Tokyo
大阪府,堺市,Osaka,Sakai,839310,おおさかふ,さかいし,"<img src=""Sakai+Osaka+japan.jpg"">",Osaka
新潟県,新潟市,Niigata,Niigata,810157,にいがたけん,にいがたし,"<img src=""Niigata+Niigata+japan.jpg"">",Niigata
