prefecture_jp,city_jp,prefecture,city,population,prefecture_hira,city_hira
東京都,東京都,Tokyo,Tokyo,9272740,とうきょうと,とうきょうと
神奈川県,横浜市,Kanagawa ,Yokohama,3724844,かながわけん,よこはまし
大阪府,大阪市,Osaka ,Osaka,2691185,おおさかふ,おおさかし
愛知県,名古屋市,Aichi,Nagoya,2295638,あいちけん,なごやし
北海道,札幌市,Hokkaido,Sapporo,1952356,ほっかいどう,さっぽろし
福岡県,福岡市,Fukuoka ,Fukuoka,1538681,ふくおかけん,ふくおかし
兵庫県,神戸市,Hyogo ,Kobe,1537272,ひょうごけん,こうべし
神奈川県,川崎市,Kanagawa ,Kawasaki,1475213,かながわけん,かわさきし
京都府,京都市,Kyoto,Kyoto,1475183,きょうとふ,きょうとし
埼玉県,さいたま市,Saitama,Saitama,1263979,さいたまけん,さいたまし
広島県,広島市,Hiroshima,Hiroshima,1194034,ひろしまけん,ひろしまし
宮城県,仙台市,Miyagi ,Sendai,1082159,みやぎけん,せんだいし
千葉県,千葉市,Chiba ,Chiba,971882,ちばけん,ちばし
福岡県,北九州市,Fukuoka ,Kitakyushu,961286,ふくおかけん,きたきゅうしゅうし
東京都,世田谷区,Tokyo,Setagaya,903346,とうきょうと,せたがやく
大阪府,堺市,Osaka ,Sakai,839310,おおさかふ,さかいし
新潟県,新潟市,Niigata ,Niigata,810157,にいがたけん,にいがたし
静岡県,浜松市,Shizuoka ,Hamamatsu,797980,しずおかけん,はままつし
熊本県,熊本市,Kumamoto ,Kumamoto-shi,740822,くまもとけん,くまもとし
東京都,練馬区,Tokyo,Nerima-ku,721722,とうきょうと,ねりまく
神奈川県,相模原市,Kanagawa ,Sagamihara,720780,かながわけん,さがみはらし
岡山県,岡山市,Okayama ,Okayama,719474,おかやまけん,おかやまし
東京都,大田区,Tokyo,Ota-ku,717082,とうきょうと,おおたく
静岡県,静岡市,Shizuoka ,Shizuoka,704989,しずおかけん,しずおかし
東京都,江戸川区,Tokyo,Edogawa-ku,681298,とうきょうと,えどがわく
東京都,足立区,Tokyo,Adachi-ku,670122,とうきょうと,あだちく
千葉県,船橋市,Chiba ,Funabashi,622890,ちばけん,ふなばしし
鹿児島県,鹿児島市,Kagoshima ,Kagoshima-shi,599814,かごしまけん,かごしまし
埼玉県,川口市,Saitama,Kawaguchi,578112,さいたまけん,かわぐちし
東京都,八王子市,Tokyo,Hachioji,577513,とうきょうと,はちおうじし
東京都,杉並区,Tokyo,Suginami,563997,とうきょうと,すぎなみく
東京都,板橋区,Tokyo,Itabashi ku,561916,とうきょうと,いたばしく
兵庫県,姫路市,Hyogo ,Himeji,535664,ひょうごけん,ひめじし
栃木県,宇都宮市,Tochigi ,Utsunomiya,518594,とちぎけん,うつのみやし
愛媛県,松山市,Ehime ,Matsuyama,514865,えひめけん,まつやまし
大阪府,東大阪市,Osaka ,Higashiosaka,502784,おおさかふ,ひがしおおさかし
東京都,江東区,Tokyo,Koto-ku,498109,とうきょうと,こうとうく
兵庫県,西宮市,Hyogo ,Nishinomiya,487850,ひょうごけん,にしのみやし
千葉県,松戸市,Chiba ,Matsudo-shi,483480,ちばけん,まつどし
千葉県,市川市,Chiba ,Ichikawa,481732,ちばけん,いちかわし
大分県,大分市,Oita ,Oita,478146,おおいたけん,おおいたし
岡山県,倉敷市,Okayama ,Kurashiki,477118,おかやまけん,くらしきし
石川県,金沢市,Ishikawa ,Kanazawa,465699,いしかわけん,かなざわし
広島県,福山市,Hiroshima,Fukuyama,464811,ひろしまけん,ふくやまし
兵庫県,尼崎市,Hyogo ,Amagasaki,452563,ひょうごけん,あまがさきし
東京都,葛飾区,Tokyo,Katsushika,442913,とうきょうと,かつしかく
東京都,町田市,Tokyo,Machida-shi,432348,とうきょうと,まちだし
長崎県,長崎市,Nagasaki ,Nagasaki,429508,ながさきけん,ながさきし
神奈川県,藤沢市,Kanagawa ,Fujisawa,423894,かながわけん,ふじさわし
愛知県,豊田市,Aichi,Toyota,422542,あいちけん,とよたし
香川県,高松市,Kagawa ,Takamatsu,420748,かがわけん,たかまつし
富山県,富山市,Toyama ,Toyama,418666,とやまけん,とやまし
千葉県,柏市,Chiba ,Kashiwa,413954,ちばけん,かしわし
岐阜県,岐阜市,Gifu ,Gifu-shi,406735,ぎふけん,ぎふし
神奈川県,横須賀市,Kanagawa ,Yokosuka,406586,かながわけん,よこすかし
大阪府,枚方市,Osaka ,Hirakata,404152,おおさかふ,ひらかたし
宮崎県,宮崎市,Miyazaki,Miyazaki,401138,みやざきけん,みやざきし
大阪府,豊中市,Osaka ,Toyonaka,395479,おおさかふ,とよなかし
東京都,品川区,Tokyo,Shinagawa,386855,とうきょうと,しながわく
愛知県,岡崎市,Aichi,Okazaki,381051,あいちけん,おかざきし
愛知県,一宮市,Aichi,Ichinomiya,380868,あいちけん,いちのみやし
長野県,長野市,Nagano ,Nagano,377598,ながのけん,ながのし
愛知県,豊橋市,Aichi,Toyohashi,374765,あいちけん,とよはしし
